longitude_rounded,latitude_rounded,count
-118.2,34.0,77803
-77.0,38.9,56664
-122.4,37.8,54144
-87.7,41.8,44119
-84.4,33.8,40124
-71.1,42.4,39294
-71.1,42.3,37377
-75.1,40.0,36447
-75.2,40.0,36266
-118.3,34.1,33524
-74.2,40.7,31390
-87.7,41.9,30117
-83.0,40.0,28936
-87.6,41.9,28460
-80.0,40.4,28080
-118.3,34.0,25194
-74.2,40.8,23931
-118.4,34.1,23760
-76.6,39.3,23652
-115.2,36.1,23642
-97.7,30.3,23069
-95.5,29.8,22477
-83.1,42.4,21487
-115.2,36.2,21383
-88.0,43.1,21318
-117.1,32.8,21163
-75.2,39.9,21139
-84.5,39.1,20781
-75.3,39.9,20443
-96.7,32.8,20373
-87.5,33.2,20292
-71.4,41.8,20040
-118.2,33.9,19855
-81.5,41.1,19296
-111.9,33.4,18745
-81.4,28.5,18443
-87.8,41.9,18319
-81.5,28.4,18248
-78.8,42.9,18235
-74.1,40.9,18175
-84.5,42.7,18100
-93.3,45.0,17953
-87.7,42.0,17882
-73.9,40.9,17879
-77.1,38.9,17604
-74.2,40.9,17380
-118.1,33.9,17378
-117.9,33.8,17325
-83.6,41.7,17289
-95.3,29.7,17192
-75.8,42.7,16732
-80.3,25.9,16697
-85.8,38.2,16663
-96.8,32.8,16425
-84.5,38.0,16386
-97.1,32.7,16289
-98.5,29.5,16231
-81.0,34.0,16184
-118.2,34.1,15762
-79.8,36.1,15707
-95.4,29.7,15665
-118.1,34.0,15574
-80.8,35.2,15394
-87.6,41.8,15168
-86.8,36.2,15151
-96.3,30.6,14890
-98.5,29.4,14819
-87.9,43.0,14726
-77.0,39.0,14713
-83.2,32.7,14489
-85.4,40.2,14474
-88.0,43.0,14448
-122.7,45.5,14388
-84.3,30.4,14366
-118.4,34.0,14312
-80.2,25.8,14251
-80.3,25.8,14201
-118.6,34.2,14199
-97.8,30.2,14193
-74.0,40.9,14155
-85.6,42.3,13969
-115.1,36.1,13941
-77.9,40.8,13904
-86.2,39.8,13848
-117.9,34.1,13824
-118.3,33.9,13782
-92.1,32.5,13753
-96.9,32.7,13744
-81.5,28.5,13731
-83.2,42.3,13596
-115.1,36.2,13592
-77.4,35.6,13457
-75.1,39.9,13255
-97.1,33.2,13212
-80.2,26.0,13139
-76.9,38.9,13108
-97.9,29.9,12972
-118.5,34.2,12963
-77.1,38.8,12914
-119.3,37.3,12864
-87.9,43.1,12801
-80.2,25.9,12726
-74.1,40.6,12648
-81.7,41.5,12648
-87.6,41.7,12631
-97.8,30.3,12572
-78.7,35.8,12517
-98.6,29.5,12502
-98.6,29.6,12418
-83.2,42.2,12393
-84.8,43.6,12365
-81.2,28.6,12320
-82.5,28.0,12296
-95.4,29.8,12279
-74.3,40.7,12165
-78.9,42.9,12137
-118.4,34.2,12075
-86.1,39.8,12034
-118.0,34.1,12010
-121.9,37.3,11936
-73.8,40.9,11818
-84.4,33.7,11776
-85.7,38.2,11762
-71.8,42.3,11703
-81.6,28.4,11695
-87.7,41.7,11671
-74.3,40.6,11653
-80.1,25.8,11633
-72.7,41.8,11586
-97.3,37.7,11555
-117.6,34.1,11550
-86.3,39.8,11388
-101.9,33.6,11227
-77.2,38.8,11208
